name,infrastructure_type,latitude,longitude
K.J. Hospital,hospital,13.0790015,80.25267
Geeth Ragunath Hospital,hospital,11.5954889,78.5955383
Selvan Hospital,hospital,8.6951036,77.7156933
Spt Hospitals,hospital,11.0143493,76.9614293
Sathya Physiotherapy Centre,hospital,13.0440365,80.2336198
Sathya Hospital and Balaji Laparoscopy Centre,hospital,9.362018,78.8461062
Sri Adhi Parasakthi Hospital,hospital,9.8476687,78.4902804
K. K. Hospital,hospital,8.4995653,78.1173232
Kensington Hospital,hospital,13.0788382,80.2469368
Ponmalligai Hospital Pvt Ltd,hospital,12.9925116,80.2061465
RMMC Multi Speciality Hospital,hospital,10.8739587,78.8148531
"Sacred Heart Hospital, Tuticorin",hospital,8.8146048,78.1467699
Ashwin Hospital,hospital,11.3330395,77.7197233
"The Schieffelin Institute Of Health Research & Training Centre, Karigiri",hospital,12.9938366,79.1969506
Deepika Eye Care Hospital,hospital,12.9512057,79.9389294
Sri Bala Hospital,hospital,11.6566667,78.4010889
Aarthy Eye Hospital,hospital,10.9607775,78.0741034
Pdr Othopaedic Hospital,hospital,13.0389519,80.2290894
Sre-Vidya Hospital,hospital,12.518789,78.2186571
Sree Devi Hospital,hospital,10.8575916,78.6924908
Sree Shanthi Hospital,hospital,11.2778297,77.5885653
Sree Sakthi Hospital,hospital,12.7605506,80.0025071
Dr K Padmavathy Hospital,hospital,11.0081878,76.9578948
E V Kalyani Medical Centre,hospital,13.0427786,80.2706811
"Vijaya Hospital, Kanniyakumari",hospital,8.2552229,77.3089349
Vikram Hospital and New Vikram Hospital,hospital,9.921439,78.1411265
Vinayaka Mission? Kirupananda Variyar Medical College,hospital,11.5977669,78.0850992
Vinodhagan Hospital,hospital,10.7742499,79.1363052
Yogi Vedha Kumari Hospital,hospital,13.0269877,80.2631588
Xcellent Care Superspeciality Hospital,hospital,12.9833895,80.2181782
Women and Children Foundation,hospital,13.0478465,80.2329075
Williams Children Hospital,hospital,8.3080257,77.2191487
Willam Hospital,hospital,8.1913525,77.4233311
VN Neuro Hospital and Vn Neuro Center,hospital,9.9229939,78.1140697
"Subam Hospital, Madurai",hospital,9.931422,78.1062001
Subhiksha Hospital,hospital,12.9740991,80.1387607
Subramania Pillai Memorial Hospital,hospital,8.1719664,77.4654814
"Sudha Hospital, Chennai",hospital,13.0791504,80.2541493
Sudha Institute of Medical Sciences Hospital,hospital,11.3371539,77.7109247
V.S.R Ortho Hospital,hospital,12.8328233,79.7036849
V.S. Hospital,hospital,10.7776292,79.6366417
V.K. Hospital,hospital,13.0816938,80.2522811
"V. G. Hospital, Thudiyalur",hospital,11.0706896,76.9420054
V N Neuro Care Centre and Hospital,hospital,9.9248843,78.11884
V K Hospital,hospital,11.3513792,77.7313976
Uma Kumar Hospital,hospital,12.7362537,77.8243053
Udhayam Hospital,hospital,11.5064193,77.2467814
U.K. Hospitals Pvt. Ltd.,hospital,13.0838857,80.2252632
U.K. Hospital,hospital,10.5845774,77.2544271
"Trust Hospital, Chennai",hospital,13.0892193,80.2415402
Titan Eye,hospital,13.082343,80.2076291
Sree Karunya Hospital,hospital,11.112514,78.0120948
Sai Ortho Care Hospital,hospital,13.0332775,80.2371645
Dr Nsk Hospital,hospital,11.3381737,77.7153821
Sri Vishnu Priyaa Hospitals Pvt Ltd,hospital,11.036949,76.927958
Madurai City Hospital,hospital,9.9268962,78.1434533
Ayyappa Hospital,hospital,11.6524111,78.1456836
Sri Kumarun Hospital,hospital,10.7678786,79.1112238
Aparna Hospital,hospital,10.9561995,76.9541618
Anthony Sheeran Hospital,hospital,12.2351031,79.0790903
Sri Kanna Speciality Hospitals,hospital,9.1843212,77.4029866
"Sms Hospital, Tirunelveli",hospital,8.72501,77.7384652
"Smyle Hospital, Mettupalayam",hospital,11.2878481,76.9420704
Snathi Hospital,hospital,11.4564245,78.1932485
Snekaram Multi Specality Hospital,hospital,10.987562,76.9358088
Sooriya Hospital,hospital,13.0481888,80.2035199
??? ?? ???????????,hospital,9.9224443,78.1489693
Bhuvana Nursing Home,hospital,10.3604482,78.8367641
Sriram Child and Maternity Hospital,hospital,11.4739074,77.5783099
Sigma Hospital,hospital,8.298323,77.2426911
Sri Sakthi Hospital,hospital,8.6998588,77.7247886
Siva Hospital,hospital,8.1191701,77.3916073
"Siva Hospital, Salem",hospital,11.6586631,78.1818277
"Dr Sivakumar Multi Speciality Hospital, Vellore",hospital,12.9343057,79.152562
P.P.S Pvt Hospital,hospital,9.4151802,78.3670445
Pp Hospital,hospital,11.6474921,78.1561723
Poorani Hospital,hospital,10.0732548,78.7724534
Chandra Hospital,hospital,9.9104173,78.1200148
Centre For Blood Disorders,hospital,13.0496502,80.2410582
C.S.I. Mission General Hospital,hospital,10.8233069,78.6746728
Bone and Joint Hospital,hospital,10.8271085,78.6790998
Kulasekaran Hospital,hospital,10.0072826,77.4839088
Kshetropasna Medical Trust Ayurveda Hospital,hospital,12.9830693,79.9379463
Krithika Hospital,hospital,9.9179408,78.1322095
Krishnammal Memorial Hospital,hospital,10.0233921,77.4798828
"Krishna Hospital, Tirunelveli",hospital,8.7269984,77.7348013
"Krishna Hospital, Tiruchirappalli",hospital,10.7729404,78.6844549
Arun Hospital,hospital,10.0080724,77.3490836
Roselin Gandhi Hospital,hospital,13.1166714,80.2803303
Sam Hospital,hospital,8.1878826,77.422725
"Srinivasa Hi-Tech Multi Speciality Hospital, Madurai",hospital,9.9288566,78.1277597
Sandhya Hospital,hospital,12.9382969,79.1684776
"Maruthi Hospital, Coimbatore",hospital,11.0031531,76.9513019
"Kannan Hospital, Cuddalore",hospital,11.7618511,79.7616957
Samuvel Hospital,hospital,8.2013645,77.308257
Paterson Cancer Center / Vijaya Health Centre Premises,hospital,13.0475826,80.2069719
Srimathi Murugeshan Hospital,hospital,11.3389205,77.7187791
Fertility Research Centre,hospital,13.0558855,80.2481343
"Mayura Hospital, Perumanallur",hospital,11.2071766,77.3560774
Kani Hospital,hospital,8.723404,77.6628712
Spot Hospital,hospital,13.047269,80.2187347
Sri Harini Hospital,hospital,11.335935,77.7112643
SRV Hospital,hospital,10.3803167,78.8188805
Srv Hospital,hospital,10.3803443,78.8189676
Abhiram Hospital Childrens Hospital and Vaccination,hospital,9.9270072,78.1436424
K. J. Hospital,hospital,10.9707765,76.9564471
B B Hospital,hospital,13.1184203,80.204346
A R Hospital,hospital,9.3648762,78.819728
Aishwarya Hospital,hospital,11.6716291,78.1267807
Dr Raos Services Hospital,hospital,10.0309302,78.3345392
St.Joseph Hospital,hospital,10.3696827,77.9819307
Abiraami Hospital,hospital,11.7559244,79.7617192
Appasamy Krishna Hospital and Medical Research Centre,hospital,12.9758647,80.2205016
"Ayesha Hospital, Thillaingar",hospital,10.8195073,78.6838654
"Medindia Hospitals, Chennai",hospital,13.0606718,80.2432201
Pauls Hospital,hospital,8.3148379,77.2023392
"AG Hospital, Tiruppur",hospital,11.1090267,77.3528045
"Aakash Hospital, Tiruvallur",hospital,13.1694824,80.304324
K.M. Multi Speciality Hospital,hospital,13.1450072,80.2398249
"Sankar Hospital, Tirunelveli",hospital,8.7258478,77.7070834
Rs Ortho Hospital,hospital,9.4537859,77.5596638
Devi Hospital,hospital,11.6786391,78.1415731
Pentagon Hospital,hospital,10.763934,79.84079
Abishek Ortho Center,hospital,10.9628788,78.0600715
Rudhra-Chella Clinicare`N`Cure Services,hospital,13.1228878,80.293498
K.K.R. ENT Hospital and Research Institute(P) Ltd,hospital,13.0781955,80.2452886
"Mythri Hospital, Krishnagiri",hospital,12.5264111,77.7897745
Roy's Heart Foundation,hospital,13.0345893,80.1836944
Roselet Medical ObgandSurgical Centre,hospital,11.0177943,76.9612482
D.V. Hospital,hospital,11.8442425,77.7489218
"Preethi Hospital, Virudhunagar",hospital,9.673832,78.1012943
Sakthi Hospital (P) Ltd.,hospital,10.4885207,77.7492832
"Srinivasa Hospital P P N, Chennai",hospital,13.0503377,80.2299377
Gastro Cre Hospital,hospital,13.0394065,80.2507684
Karunai Hospital,hospital,9.9416266,78.1271461
Aaditya Kamaraja Eye Hospital,hospital,13.0463676,80.1865241
Dr. Agarwal`S Eye Hospital Ltd,hospital,12.9106975,79.131622
Saraswathi Eye Hospital and Research Centre,hospital,9.9157056,78.1256247
Sruti Hospitals,hospital,11.0060677,76.9525994
Ponni Hospital & Fertility And Research Centre,hospital,9.9600054,78.1333676
Aarthi Hospital,hospital,9.1745333,77.8662443
"Sri Venkateshwara Hospital ,Tiruchirapalli",hospital,10.8219673,78.6830614
"Kasthuri Hospital, Chennai",hospital,12.9269402,80.1146503
Saradha Hospital,hospital,8.1973491,77.4314482
Sri Krishnan Hospital,hospital,9.4415591,77.5600933
Sahishnatha Indtitute Of Maternal And Child Health,hospital,12.9531897,80.2541614
J.B. Clinic And Hospital,hospital,11.3351769,77.7282031
"Jaya Hospital, Madurai",hospital,9.8832823,78.0575944
Immanuel Hosptal,hospital,13.1162117,80.1065513
,hospital,11.6717141,78.1524716
Chinthiya Dental Clinic,hospital,9.5085767,77.6333174
burma doctor hospital,hospital,11.2414022,76.9600962
,police,13.1188229,80.2974617
,police,13.0757377,80.2775929
Ketti Village Police Station,police,11.3816825,76.7358475
,hospital,11.3723896,76.7282242
Sushrusha Hospital,hospital,8.1957062,77.3923651
dr.thangavel dch hospital,hospital,11.4619955,78.1849181
Police Station Rasipuram,police,11.4617825,78.1847411
surya hospital,hospital,11.4622163,78.1840544
"Diatrict Police Station, Kallakurichi",police,11.7030001,78.9430882
Jaaidev Hospital,hospital,11.6655205,78.2634736
,hospital,12.9450447,78.8695276
Chindoja Hospital,hospital,10.4220476,79.3207038
Vetri Selvan Hospital,hospital,10.4247438,79.3189967
Naadi Ortho Clinic,hospital,10.4218962,79.3228683
Ahana Hospitals,hospital,9.9244589,78.1374639
G.R.A.M. Hospital,hospital,10.4276252,79.3137842
Santhosh Childrens Hospital,hospital,9.4423176,77.5600152
Holy Family Mission Hospital,hospital,11.442748,76.8703468
"Mangalam Hospital, Tiruchirappalli",hospital,10.8239814,78.6839486
Deepam Hospital,hospital,10.0070957,77.3494919
G.V.K. Hospital,hospital,11.6445919,78.1555742
Sankari Hospital,hospital,12.9153529,79.1335011
Siva E N T Hospital,hospital,13.0619796,80.2741693
"Aravind Eye Hospital, Periyakulam",hospital,10.0238801,77.4800719
"Vinayagam Laser Hospital, Chennai",hospital,13.0476113,80.2650954
"Dr Agarwals Eye Hospital, Triplicane",hospital,13.0524884,80.2736449
Ar Ortho Hospital,hospital,10.6622765,77.0125401
"Dr.Agarwal's Eye Hospital Ltd., Gopala Puram",hospital,13.0432085,80.259169
Bharani Hospital,hospital,13.0380111,80.2013205
"Sangeetha Hospital, Thanjavur",hospital,10.4267995,79.3160688
Vasantha Hospital,hospital,13.1738112,80.294082
"Rhyatham Hospital, Kovilpatti",hospital,9.1742024,77.8657394
N.R.K Hospital,hospital,10.6634633,79.4480496
Arthur Asirvatham Hospital,hospital,9.9240771,78.1392731
South Zone Ent Research Centre,hospital,11.9301511,79.4803694
Selvaa Hospital,hospital,8.6836443,78.0350315
Amma Hospital,hospital,12.7393554,77.8326981
Temple Police Station,police,9.2870953,79.3098772
,hospital,12.9137954,79.1349428
Sri Rama Chandra Hospital,hospital,9.9234022,78.1149857
Sri Ragavendra Hospital,hospital,11.2151734,78.1703431
Government Hospital,hospital,11.3900664,78.1606968
Usha Hospital,hospital,8.2510657,77.5235413
Muthuvel Rajan Hospital,hospital,9.92495,78.1190044
South Zone Ent Research Centre,hospital,11.9289946,79.4806509
SIMS Children Hospital,hospital,11.3376687,77.7106065
Sri Gokulam Speciality Hospital,hospital,11.6788724,78.1274258
Fortis Vadapalani Hospital,hospital,13.0475131,80.2042733
Sholai Medical Centre,hospital,11.3364905,77.7107674
Tamil Nadu Urological Research Centre Best Kidney Stone Clinic,hospital,13.0748708,80.2147555
Sree Sanjeevi Rayan Hospital,hospital,13.1992282,80.1786155
Sri Ranga Hospitals,hospital,13.0290525,80.2636265
Shree Sivaa Hospital,hospital,11.0450728,76.9856121
Lakshmi Madhavan Hospital,hospital,8.7262514,77.7211816
Dr. BRJ Ortho Centre,hospital,11.0340354,76.9512209
Sri Devi Hospital,hospital,12.9672419,79.9456429
R K Eye Care Center,hospital,11.4589079,78.1913596
S S Medical Centre,hospital,11.6706585,78.1398415
Sri Venkatswara Hospital,hospital,10.7608285,79.8426391
Chamiers Day Care Center,hospital,13.0297278,80.2446245
"Krishna Hospital, Namakkal",hospital,11.3754811,77.8931817
K.V. Hospital - Senthil Kidney Centre,hospital,12.1255592,78.1581934
S.A.M Hospital,hospital,10.8189824,78.6837253
London Harley Street Women And Fertility Centre,hospital,12.9609724,80.2421492
"ESIC Hospital, Virudhunagar",hospital,9.5910952,77.9633891
Sri Kumaran E N T Hospital,hospital,11.3657814,77.7477763
Sri Krishna Hospital,hospital,11.3656648,77.7477783
"Mathura Scan Centre, Nagercoil",hospital,8.1815945,77.4153596
Thilagaram Orthopaedic Hospital,hospital,8.1821799,77.4153596
Gas Hospital,hospital,13.003026,80.2540981
Maris Hospital,hospital,8.9769986,77.4185219
Thangamathi Nursing Home,hospital,8.9770274,77.4183653
GP Hospital,hospital,12.2292039,79.0745071
Vignesh Hospital,hospital,12.2242836,79.0742584
Dr.Bala Subramanian,hospital,13.0465056,80.2423799
Nathans Speciality hospital,hospital,12.5203307,78.2174264
Kanna Hospital,hospital,10.3651479,77.9821757
"Hospital, Dindigul",hospital,10.3674179,77.9796011
West Police Station,police,10.958471,79.3748958
S.T. Hospital,hospital,10.959951,79.3803073
Csi Bellpins Indrani Chelladurai Mission Hospital,hospital,8.7232798,77.7488801
"Government Hospital, Sendamaram",hospital,9.059941,77.437467
"Government Hospital, Betmanagaram",hospital,8.6502083,77.9549229
"Government Hospital, Sokkalal",hospital,8.7400328,77.5221934
Poigai Government Hospital,hospital,9.0359224,77.3892891
Srivaikundam Government Hospital,hospital,8.6289886,77.9124722
"Government Hospital, Ottapidaram",hospital,8.909187,78.021275
Eswari Hospital,hospital,9.1743019,77.5419414
C. J. Hospital,hospital,8.883598,77.388918
J.K.Hospital,hospital,8.6770516,77.7412301
Balaji Hospital,hospital,8.9550625,77.3115106
Government Hospital Veeranam,hospital,8.941453,77.500121
"Government Hospital, Kayalpattinam",hospital,8.5675729,78.1207651
Sugam Hospital,hospital,8.5153651,77.5540506
"Government Hospital, Kadayanallur",hospital,9.0843307,77.3471138
"Govt. Primary Hospital, Nalli",hospital,9.2375269,77.9070875
Vadakarai Government Hospital,hospital,9.0357839,77.2717625
"Government Hospital, Eral",hospital,8.6281021,78.0228847
"Government Hospital, Sayalkudi",hospital,9.1673279,78.4439116
"Government Hospital, Ambasamudram",hospital,8.7028117,77.4579979
Muthamil Hospital,hospital,8.7162149,77.7321912
Sundarapandiapuram Government Hospital,hospital,8.9632748,77.3804556
St.Mary's Hospital,hospital,9.1864337,77.4024781
"Government Hospital, Veerakeralampudur",hospital,8.9389031,77.4493598
"Government Hospital, Kulayaneri",hospital,8.9999351,77.4322512
Sudharson Platinum Hospitals,hospital,8.729866,77.71944
Kamala Nurshing Home,hospital,8.976933,77.420813
Thanam Hospital,hospital,8.5150572,77.5560818
Jeyarathna Hospital,hospital,8.7231595,77.6915029
"Government Hospital, Reddiarpatti",hospital,8.6735412,77.7437318
Yusuf Zulaikha Hospital,hospital,9.2301694,78.7844509
"Government Hospital, Puliyangudi",hospital,9.1694504,77.3956889
"Government Hospital, Valinokkam",hospital,9.1657692,78.6425093
"Government Hospital, Alangulam",hospital,8.867049,77.49199
"Government Hospital, Ettaiyapuram",hospital,9.1480267,77.9916476
Veeravanallur Government Hospital,hospital,8.6908972,77.5252827
"Government Hospital, Cheranmahadevi",hospital,8.682902,77.563989
Sriram Hospital,hospital,8.9611962,77.3067831
Shiva Hospital,hospital,8.9579361,77.3084693
NMS Hospital,hospital,9.1789609,77.5357748
Dr. PM. Hospital,hospital,8.919435,77.39024
Shifa Hospital,hospital,8.7284606,77.7101795
"Government Hospital, Uthumalai",hospital,8.9805198,77.5263839
"Government Hospital, Shenkottai",hospital,8.9717717,77.2474154
Veema Hospital,hospital,8.5148968,77.557595
Manakaavalam Pillai Government Hospital,hospital,8.7267341,77.7388735
"Government Hospital, Tenkasi",hospital,8.9707606,77.3036864
Sankarankovil Government Hospital,hospital,9.1688041,77.5363683
Nettur Government Hospital,hospital,8.9140846,77.5274798
Government Hospital Vadamalapur,hospital,9.1545023,77.4725976
Peace Health Centre,hospital,8.6995388,77.7264438
Latha Hospital,hospital,8.9090277,77.3783734
Pettai Government Hospital,hospital,8.7220798,77.6589633
"Government Hospital, Kovilpatti",hospital,9.175784,77.8743474
"Government Hospital, Melapalayam",hospital,8.705728,77.709929
Joseph Hospital,hospital,8.7249129,77.7312637
"Government Hospital, Vadakupappankulam",hospital,8.7761606,77.4214125
"Government Hospital, Ervadi",hospital,9.22199,78.701598
"Government Hospital, Kalugumalai",hospital,9.1507621,77.7018977
Gomathy Hospital,hospital,8.6886524,77.463876
Government Hospital Kadaladi,hospital,9.216809,78.495177
Dr.Ala Memorial Hospital,hospital,8.9551686,77.3078937
Annamalai Hospital,hospital,9.177388,77.5330322
"Vickramasingapuram,Government Hospital",hospital,8.7146591,77.3859391
Sri Senthil Hospital,hospital,9.175173,77.5326973
"Government Hospital, Kayathar",hospital,8.944803,77.776083
"Goverment Hospital, Ayikudi",hospital,9.0014243,77.3460958
Sree Mookambika Cancer Centre,hospital,8.361361,77.290561
PPM Hospital,hospital,8.13245,77.365941
Asha Hospital,hospital,8.2436676,77.319703
Renuga Hospital,hospital,8.1700258,77.4373739
Amala Hospital,hospital,8.266006,77.2916631
Dennis Hospital,hospital,8.2637498,77.2958409
Valliyur Government Hospital,hospital,8.397798,77.5947675
"Government Hospital, Navaladi",hospital,8.2577282,77.8244722
"Government Hospital, Kulaseram",hospital,8.3723617,77.2993624
Rani Hospital,hospital,8.5119618,77.5592599
Binu Medical Centre,hospital,8.1852759,77.2497986
Subam Hospital,hospital,8.269539,77.439625
Chandriga Hospital,hospital,8.181537,77.426428
SJ. Hospital,hospital,8.1966937,77.4282444
Annai Theresa Hospital,hospital,8.1584201,77.4255439
Aaditya Hospital,hospital,8.1760644,77.431521
"Government Hospital, Karungal",hospital,8.2293305,77.2413827
"Vadakkankulam,Government hospital",hospital,8.2633917,77.6097885
Carolin John Hospital,hospital,8.176412,77.409411
Rita Hospital,hospital,8.288966,77.108227
"Government Hospital, Nanguneri",hospital,8.4910559,77.6595461
Lakshmi Hospital,hospital,8.1841839,77.4312631
"Government Hospital, Radhapuram",hospital,8.268576,77.6864484
"Government Hospital, Kuttakuzhi",hospital,8.31212,77.261791
Jeppiaar Remibai Hospital,hospital,8.166032,77.319129
Vattavilai Government Hospital,hospital,8.1612986,77.4382857
Krishnakumar Orthopaedic Hospital,hospital,8.194654,77.394216
Rajalekshmi Hospital,hospital,8.158196,77.43251
David Hospital,hospital,8.36402,77.2986301
Ramya Hospital Velladichivilai,hospital,8.1543723,77.4462103
Prakash Hospital,hospital,8.222139,77.3542614
Latha Hospital,hospital,8.1683251,77.4357765
A.M Hospital,hospital,8.205907,77.314965
"Government Hospital, Mudalur",hospital,8.421419,77.942626
Padukkapathu Government Hospital,hospital,8.3654859,77.981655
Padhmanabapuram Government Hospital,hospital,8.247731,77.313351
Kandaswamy Hospital,hospital,8.118839,77.52599
"Government Hospital, Kuzhithurai",hospital,8.310425,77.212382
"Government Hospital, Koodangulam",hospital,8.201218,77.710848
Dr.Sivarajan Memorial Maternity Hospital,hospital,8.1578,77.458891
Bethesda Hospital,hospital,8.1883256,77.427116
"Government Hospital, Arumanai",hospital,8.362706,77.2377176
Perinba Hospital,hospital,8.3601052,77.2989638
Rajam Hospital,hospital,8.1738299,77.390855
"Government Hospital, Eruvadi",hospital,8.4335336,77.6006423
Valliammai Achi Hospital,hospital,8.4152001,77.2715427
Prasadh Hospital,hospital,8.1786649,77.2553802
Mahalekshmi Hospital,hospital,8.1784249,77.4252555
Csi Hospital. Nagercoil,hospital,8.1862388,77.4232201
Idroos Hospital,hospital,8.274607,77.4409022
Sivanthi Hospital,hospital,8.0908658,77.5494399
"Csi Hospital, Marthandam",hospital,8.308594,77.2155581
Blessing Hospital,hospital,8.1675245,77.4322708
"Csi Hospital, Kulasekeram",hospital,8.3625758,77.2964418
Sindhu Hospital,hospital,8.1453478,77.4318651
Nirmala Hospital,hospital,8.2440372,77.2403957
Rodrigues Hospital,hospital,8.35898,77.290056
Mother Therese Hospital,hospital,8.1735644,77.4176254
"Government Hospital, Seynamvilai",hospital,8.208495,77.27842
Kalangudieruppu Goverment Hospital,hospital,8.4303468,78.0326817
Ganesamony Hospital,hospital,8.170847,77.4322502
Francis Hospital,hospital,8.266787,77.142518
"Government Hospital, Colachal",hospital,8.1783591,77.2578485
"Government Taluk Headquarters Hospital, Boothapandy",hospital,8.2647152,77.4439763
S.R.Hospital,hospital,8.2442446,77.3207802
Devadhas Hospial,hospital,8.274207,77.14411
"Government Hospital, Sathankulam",hospital,8.4430918,77.9096381
MJ Hospital,hospital,8.165183,77.385274
,hospital,11.6284429,78.8688031
,police,11.6356677,78.8774714
Jayalakshmi Hospital,hospital,9.3917216,77.4923075
Sathur Government Hospital,hospital,9.3531513,77.920013
Manamadurai Government Hospital,hospital,9.6943125,78.4592323
"Government Hospital, Sivagiri",hospital,9.3471299,77.4332285
Aravind Maternity Hospital,hospital,9.4527525,77.552606
"Government Hospital, Srivilliputhur",hospital,9.5135667,77.6326207
Krishna Hospital,hospital,9.354485,77.9196099
Soundaram Nurshing Home,hospital,9.4504454,77.7941672
"Government Hospital, Kallamanaickanpatti",hospital,9.3776064,77.7102567
"Government Hospital, Keelathooval",hospital,9.4192489,78.5509953
Surya Hospital,hospital,9.395436,77.499077
Manimalar Maternity Hospital,hospital,9.5105955,78.0968013
Sri Ram Hospital,hospital,9.4461139,77.801131
Sankar Hospital,hospital,9.5095614,78.0975468
Sruthi Hospital,hospital,9.444383,77.8017682
"Government Hospital, Gudalur",hospital,9.67647,77.240587
Nivin Hospital,hospital,9.4198385,78.3695236
Ramanathapuram Government Hospital,hospital,9.363491,78.831889
"Tiruchuli, Goverment Hospital",hospital,9.5356729,78.2035947
ESI Sivakasi,hospital,9.4643146,77.7651711
Shifan Hospital,hospital,9.367442,78.83615
Shivashankar Hospital & Research Cente,hospital,9.5905571,77.9499186
Mandapam Camp Government Hospital,hospital,9.274733,79.136718
Periyapattinam Government Hospital,hospital,9.2704775,78.9027595
"Government Hospital, Auvudaiyapuram",hospital,9.4454589,77.952231
Om Sakthi Hospital,hospital,9.6880693,78.4495485
Maniraj Hospital,hospital,9.3543922,77.9196377
Dhanya Hospital,hospital,9.4435946,77.5510019
Government Hospital Kariapatti,hospital,9.6741205,78.0962516
Thiruppalaikudi Government Hospital,hospital,9.5442253,78.9122689
Xavier Hospitals,hospital,9.3635404,78.8495267
Ramani Hospital,hospital,9.363482,78.837123
Panchavarnam Hospital,hospital,9.5234174,77.6387692
"Government Hospital, Kilavikulam",hospital,9.3611916,77.5911987
Ashok Hospital,hospital,9.4474369,77.5538126
Thiruthangal Government Hospital,hospital,9.48809,77.814176
Anbu Hospital,hospital,9.3662105,78.8172629
Watrap Government Hospital,hospital,9.6401576,77.6354437
Kamali Hospital,hospital,9.5084774,78.0971319
Star Hospital,hospital,9.3538499,77.9203014
Sri Hari Hospital,hospital,9.443618,77.560057
Vanni Hospital,hospital,9.507182,78.097883
P.A.C. Ramasamy Raja Memorial Government Hospital,hospital,9.4377748,77.5373647
"Government Hospital, Mamsapuram",hospital,9.5052381,77.6018447
Rajasuba Hospital,hospital,9.4235674,77.580285
Menaka Hospital,hospital,9.4576565,77.7988751
RR hospital,hospital,9.4532044,77.5590013
"Government Hospital, Chokkanathan Pudur",hospital,9.3609775,77.4578589
"General Hospital, Natham",hospital,9.4469967,78.4484804
Dhanushkodi Hospital,hospital,9.354646,77.9167766
"Government Hospital, Malaipatti",hospital,9.4851038,78.0014964
"Government Hospital, Kunnur",hospital,9.5865151,77.6993822
Pandalkudi Government Hospital,hospital,9.389392,78.103515
Panaikulam Government Hospital,hospital,9.3662871,78.9499219
Government Hospital Kamuthi,hospital,9.4158759,78.3659616
"Government Hospital, Ilayankudi",hospital,9.6292182,78.6273668
Meenakshi Sundaram Hospital,hospital,9.3977442,77.4961053
"Government Hospital, Kalkurichi",hospital,9.6024514,78.0951809
"Government Hospital, Appanur",hospital,9.264314,78.483371
Saravana Hospital,hospital,9.394533,77.498601
Saravana Hospital,hospital,9.3531567,77.9181089
"Government Hospital, Mudukulathur",hospital,9.3492404,78.5152361
Joseph Hospital,hospital,9.5154964,77.6343727
"Government Hospital, Narikkudi",hospital,9.587305,78.308569
Latha Nurshing Home,hospital,9.3546493,77.9183979
MSB Multispeciality Hospital,hospital,9.4846266,77.8142801
Muthusamy Hospital,hospital,9.5840119,77.959814
Siva Hospital,hospital,9.4749,77.812485
MPCN Hospital,hospital,9.5717555,77.9587914
Jawahar Hospital,hospital,9.3731406,78.8435213
"Government Hospital, Devipattinam",hospital,9.468521,78.891103
"Government Hospital, Paramakudi",hospital,9.5548798,78.575356
"Government Hospital, Salaigrammam",hospital,9.6073822,78.7151305
"Government Hospital, Zamin Kolangondan",hospital,9.3957054,77.5244062
"Government Hospital, Nathampatti",hospital,9.6009693,77.7300528
Shenbegam Hospital,hospital,9.9238037,78.1435794
Gowtham Hospitals,hospital,9.879442,78.057386
Sakthi Hospital,hospital,9.914701,78.099235
Bright Hospital,hospital,9.933019,78.139696
Pandukudi Hospital,hospital,9.808028,78.9713947
Government Hospital,hospital,9.9028146,78.1883014
Shastha Kidney And Multispeciality Hospital,hospital,9.939848,78.175138
"Government Hospital, Kondagai",hospital,9.844083,78.185059
Grace Hospital,hospital,9.9183299,78.1043613
Jeya Raj Hospital,hospital,9.917528,78.118013
Sivam Hospital,hospital,9.825613,77.985609
S.S. Hospital,hospital,9.9236629,78.1214825
Sundaram Hospital,hospital,9.9212771,78.0998905
"Government Hospital, Idayamelur",hospital,9.9200701,78.4436757
St. Joseph's Hospital,hospital,9.847558,78.865929
"Sumathi Hospital,Anna Nagar,Madurai",hospital,9.923737,78.1467176
Thirupparankundrum Government Hospital,hospital,9.8788769,78.066615
Government Hospital Periyakottai,hospital,9.7882968,78.4164117
Arasi Hospital,hospital,9.928607,78.0964222
Karunai Hospital,hospital,9.942696,78.1274045
Dhandapani Hospital (Sivagami Surgical Clinic),hospital,9.8431928,78.6379481
Dr. Rm Devasena Hospital,hospital,9.9495216,78.8178762
"Government Hospital, Tirumangalam",hospital,9.8254401,77.986555
Life Care Hospitals,hospital,9.916351,78.097006
"Government Hospital, Kamayakoundanpatti",hospital,9.737068,77.316911
Sabari Maternity And Children Hospital,hospital,9.8492413,78.4867869
Aroma Hospital,hospital,9.9442065,78.1425622
"Varusanadu,Government Hospital",hospital,9.726194,77.518126
Sri Krishna Children's Hospital,hospital,9.9252562,78.1134833
"Government Hospital, Alligundam",hospital,9.8776554,77.7902909
"Government Hospital, Balarengapuram",hospital,9.9128824,78.1312982
Mohan Medicity Hospital,hospital,9.9348695,78.1457357
"Government Hospital, Govindanagaram",hospital,9.9115115,77.5027323
Pandian Heart Institute,hospital,9.9290073,78.1096085
Government Hospital,hospital,9.941032,77.969804
"Sellur,Government Maternity Hospital",hospital,9.9350427,78.1188461
Maniyam Hospital,hospital,9.945747,78.820184
Subam Hospital,hospital,9.943622,78.826682
Rohan Sekar Hospital,hospital,9.729667,77.285558
Jaisee Hospital,hospital,9.9255099,78.0976752
J.J Hospital,hospital,9.9242414,78.1414965
Sri Thandeeswarar Hospital,hospital,9.824588,78.257211
